branch,dataset,len_claimed_fixes,savings_ratio,skip_reason
no_continuity,tdrive:tdrive_30:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_30:p0,25,0.9744854959321401,
no_cadence,tdrive:tdrive_30:p0,16,0.93674104673101,
all_on,tdrive:tdrive_31:p0,25,0.0,
no_odometer,tdrive:tdrive_31:p0,25,1.0,
no_continuity,tdrive:tdrive_31:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_31:p0,25,0.9586974794753993,
no_cadence,tdrive:tdrive_31:p0,17,0.9124120579870346,
all_on,tdrive:tdrive_32:p0,25,0.0,
no_odometer,tdrive:tdrive_32:p0,25,1.0,
no_continuity,tdrive:tdrive_32:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_32:p0,25,0.9713919335195931,
no_cadence,tdrive:tdrive_32:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_33:p0,25,0.0,
no_odometer,tdrive:tdrive_33:p0,25,1.0,
no_continuity,tdrive:tdrive_33:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_33:p0,25,0.9729192635575614,
no_cadence,tdrive:tdrive_33:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_34:p0,25,0.0,
no_odometer,tdrive:tdrive_34:p0,25,1.0,
no_continuity,tdrive:tdrive_34:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_34:p0,25,0.9324387684476099,
no_cadence,tdrive:tdrive_34:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_35:p0,25,0.0,
no_odometer,tdrive:tdrive_35:p0,25,1.0,
no_continuity,tdrive:tdrive_35:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_35:p0,25,0.9108986448919075,
no_cadence,tdrive:tdrive_35:p0,13,0.7643878029369761,
all_on,tdrive:tdrive_36:p0,25,0.0,
no_odometer,tdrive:tdrive_36:p0,25,1.0,
no_continuity,tdrive:tdrive_36:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_36:p0,25,0.9865206228956229,
no_cadence,tdrive:tdrive_36:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_37:p0,0,0.0,odometer delta exceeds tier speed budget
no_odometer,tdrive:tdrive_37:p0,0,0.0,odometer delta exceeds tier speed budget
no_continuity,tdrive:tdrive_37:p0,0,0.0,odometer delta exceeds tier speed budget
no_continuity_osnma_lifted,tdrive:tdrive_37:p0,0,0.0,odometer delta exceeds tier speed budget
no_cadence,tdrive:tdrive_37:p0,0,0.0,odometer delta exceeds tier speed budget
all_on,tdrive:tdrive_38:p0,25,0.0,
no_odometer,tdrive:tdrive_38:p0,25,1.0,
no_continuity,tdrive:tdrive_38:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_38:p0,25,0.95902331002331,
no_cadence,tdrive:tdrive_38:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_39:p0,25,0.0,
no_odometer,tdrive:tdrive_39:p0,25,1.0,
no_continuity,tdrive:tdrive_39:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_39:p0,25,0.9847682936232555,
no_cadence,tdrive:tdrive_39:p0,18,0.9681494332639371,
all_on,tdrive:tdrive_41:p0,25,0.0,
no_odometer,tdrive:tdrive_41:p0,25,1.0,
no_continuity,tdrive:tdrive_41:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_41:p0,25,0.9696021165079157,
no_cadence,tdrive:tdrive_41:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_42:p0,25,0.0,
no_odometer,tdrive:tdrive_42:p0,25,1.0,
no_continuity,tdrive:tdrive_42:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_42:p0,25,0.9755539393939394,
