cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
120,porto,medium,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
120,porto,medium,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
120,porto,medium,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
300,porto,medium,0.0,0.0,0.0,1,0.0,cell,0.0,0,7
300,porto,medium,0.1705348133198789,0.11833446486422798,0.11090965122102864,8,0.1589767212678371,cell,1.0,100,0
300,porto,medium,0.17964071856287425,0.14810560594700575,0.147167663128335,8,0.17645365172782587,cell,1.0,200,0
300,porto,medium,0.17964071856287425,0.14979903294148644,0.147167663128335,8,0.17645365172782587,cell,1.0,400,0
300,porto,medium,0.146866230121609,0.0734331150608045,0.0734331150608045,2,0.13952291861552854,intra_cell,0.5,0,6
300,porto,medium,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
300,porto,medium,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
300,porto,medium,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
60,rome,coarse,0.01282623243363819,0.0024366931169378324,0.0006478491408523702,19,0.007244009962537993,cell,0.5263157894736842,0,47
60,rome,coarse,0.11136192626034612,0.040608009807512994,0.037521854844426175,66,0.0805768412196594,cell,1.0,100,0
60,rome,coarse,0.15500376222723852,0.055887703186022535,0.04986949496143366,66,0.13070904759680507,cell,1.0,200,0
60,rome,coarse,0.23639774859287055,0.07661411751539098,0.06551870157015743,66,0.18594025087374055,cell,1.0,400,0
60,rome,coarse,0.02036036036036036,0.0056627069361991425,0.004951935953679457,32,0.014933451134809629,intra_cell,0.71875,0,34
60,rome,coarse,0.15500376222723852,0.049889940851793185,0.0436505178768993,66,0.10435228925975258,intra_cell,1.0,100,0
60,rome,coarse,0.19569495694956948,0.06433064679652323,0.05653622872923052,66,0.14662554976684822,intra_cell,1.0,200,0
60,rome,coarse,0.25719557195571957,0.07934429882375331,0.06551870157015743,66,0.1868695037544245,intra_cell,1.0,400,0
120,rome,coarse,0.27060539752005836,0.047549818527631474,0.0,19,0.1801482970651154,cell,0.42105263157894735,0,47
120,rome,coarse,0.3055555555555556,0.15626607791194796,0.1395749510258185,66,0.26083766720631146,cell,1.0,100,0
120,rome,coarse,0.4071502057613169,0.19726318108761576,0.17909859533285732,66,0.30366616517538997,cell,1.0,200,0
120,rome,coarse,0.4071502057613169,0.23022615548028388,0.2281322559119724,66,0.31987474616850775,cell,1.0,400,0
120,rome,coarse,0.345679012345679,0.09797945056352175,0.05853640267652052,32,0.2883208392559782,intra_cell,0.65625,0,34
120,rome,coarse,0.5357510288065843,0.2824395200242205,0.2779010999634778,66,0.4319399601395117,intra_cell,1.0,100,0
120,rome,coarse,0.5357510288065843,0.30172418147238217,0.2830597746202842,66,0.44954046242774565,intra_cell,1.0,200,0
120,rome,coarse,0.5357510288065843,0.32612760564565096,0.3171326731248282,66,0.44954046242774565,intra_cell,1.0,400,0
300,rome,coarse,0.27060539752005836,0.047549818527631474,0.0,19,0.1801482970651154,cell,0.42105263157894735,0,47
300,rome,coarse,0.3055555555555556,0.15734506175847177,0.1395749510258185,66,0.26083766720631146,cell,1.0,100,0
300,rome,coarse,0.4071502057613169,0.19799457578241417,0.17909859533285732,66,0.30366616517538997,cell,1.0,200,0
300,rome,coarse,0.4071502057613169,0.23050179676896487,0.2281322559119724,66,0.31987474616850775,cell,1.0,400,0
300,rome,coarse,0.345679012345679,0.09797945056352175,0.05853640267652052,32,0.2883208392559782,intra_cell,0.65625,0,34
300,rome,coarse,0.5357510288065843,0.28433284072757076,0.2779010999634778,66,0.4319399601395117,intra_cell,1.0,100,0
300,rome,coarse,0.5357510288065843,0.3034049067121925,0.2830597746202842,66,0.44954046242774565,intra_cell,1.0,200,0
300,rome,coarse,0.5357510288065843,0.3265981720930035,0.3171326731248282,66,0.44954046242774565,intra_cell,1.0,400,0
60,rome,fine,0.01282623243363819,0.0023554719140585646,0.0,19,0.007244009962537993,cell,0.47368421052631576,0,47
60,rome,fine,0.11136192626034612,0.04058508741505241,0.037521854844426175,66,0.08124397944535555,cell,1.0,100,0
60,rome,fine,0.15500376222723852,0.05547538347546865,0.04986949496143366,66,0.12665585901678983,cell,1.0,200,0
60,rome,fine,0.23170501499674895,0.07608331193460229,0.06551870157015743,66,0.17995026130339656,cell,1.0,400,0
60,rome,fine,0.02036036036036036,0.005622947416903652,0.004813803577418056,32,0.015055355341572292,intra_cell,0.6875,0,34
60,rome,fine,0.15500376222723852,0.04959553918843066,0.0436505178768993,66,0.10667043857024704,intra_cell,1.0,100,0
60,rome,fine,0.1926260346124906,0.06389897119268928,0.05653622872923052,66,0.14583563728311089,intra_cell,1.0,200,0
60,rome,fine,0.2514873574615766,0.07885369951962033,0.06551870157015743,66,0.18088866060272507,intra_cell,1.0,400,0
120,rome,fine,0.22178988326848248,0.04341962238549647,0.0,19,0.17526674563995776,cell,0.42105263157894735,0,47
120,rome,fine,0.3055555555555556,0.15925795019476352,0.14083412067980078,66,0.28158039900707915,cell,1.0,100,0
120,rome,fine,0.4071502057613169,0.20368519692861117,0.18660467075960036,66,0.3424660694896851,cell,1.0,200,0
120,rome,fine,0.4071502057613169,0.2510272448580497,0.243386955573693,66,0.3738618477144044,cell,1.0,400,0
