dataset,period_id,mode,empirical_anonymity_set,empirical_entropy_bits,distance_tol_m,fee_tol_cents
rome,rome:60:11-0-s136:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:11-0-s136:p0,odometer_only_statement,17,4.087462841250339,100,
rome,rome:60:11-0-s186:p0,zone_priced_statement,3,1.584962500721156,100,27628
rome,rome:60:11-0-s186:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:11-0-s186:p0,odometer_only_statement,16,4.0,100,
rome,rome:60:11-0-s84:p0,zone_priced_statement,2,1.0,100,7604
rome,rome:60:11-0-s84:p0,mixed_statement,2,1.0,100,
rome,rome:60:11-0-s84:p0,odometer_only_statement,43,5.426264754702098,100,
rome,rome:60:124-1-s99:p0,zone_priced_statement,3,1.584962500721156,100,28923
rome,rome:60:124-1-s99:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:124-1-s99:p0,odometer_only_statement,50,5.643856189774724,100,
rome,rome:60:127-0-s273:p0,zone_priced_statement,1,0.0,129,6378
rome,rome:60:127-0-s273:p0,mixed_statement,1,0.0,129,
rome,rome:60:127-0-s273:p0,odometer_only_statement,10,3.321928094887362,129,
rome,rome:60:128-0-s16:p0,zone_priced_statement,6,2.584962500721156,100,12417
rome,rome:60:128-0-s16:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:128-0-s16:p0,odometer_only_statement,37,5.20945336562895,100,
rome,rome:60:128-0-s16:p1,zone_priced_statement,6,2.584962500721156,100,12193
rome,rome:60:128-0-s16:p1,mixed_statement,6,2.584962500721156,100,
rome,rome:60:128-0-s16:p1,odometer_only_statement,49,5.614709844115208,100,
rome,rome:60:128-0-s65:p0,zone_priced_statement,6,2.584962500721156,100,12163
rome,rome:60:128-0-s65:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:128-0-s65:p0,odometer_only_statement,46,5.523561956057013,100,
rome,rome:60:128-0-s82:p0,zone_priced_statement,3,1.584962500721156,175,13880
rome,rome:60:128-0-s82:p0,mixed_statement,3,1.584962500721156,175,
rome,rome:60:128-0-s82:p0,odometer_only_statement,5,2.321928094887362,175,
rome,rome:60:128-0-s82:p1,zone_priced_statement,9,3.169925001442312,100,14722
rome,rome:60:128-0-s82:p1,mixed_statement,9,3.169925001442312,100,
rome,rome:60:128-0-s82:p1,odometer_only_statement,48,5.584962500721156,100,
rome,rome:60:128-0-s82:p2,zone_priced_statement,3,1.584962500721156,100,7308
rome,rome:60:128-0-s82:p2,mixed_statement,3,1.584962500721156,100,
rome,rome:60:128-0-s82:p2,odometer_only_statement,31,4.954196310386875,100,
rome,rome:60:134-0-s99:p0,zone_priced_statement,9,3.169925001442312,100,14669
rome,rome:60:134-0-s99:p0,mixed_statement,9,3.169925001442312,100,
rome,rome:60:134-0-s99:p0,odometer_only_statement,49,5.614709844115208,100,
rome,rome:60:137-0-s71:p0,zone_priced_statement,1,0.0,100,22596
rome,rome:60:137-0-s71:p0,mixed_statement,1,0.0,100,
rome,rome:60:137-0-s71:p0,odometer_only_statement,4,2.0,100,
rome,rome:60:137-0-s71:p1,zone_priced_statement,5,2.321928094887362,100,19456
rome,rome:60:137-0-s71:p1,mixed_statement,5,2.321928094887362,100,
rome,rome:60:137-0-s71:p1,odometer_only_statement,43,5.426264754702098,100,
rome,rome:60:137-0-s71:p2,zone_priced_statement,1,0.0,100,12305
rome,rome:60:137-0-s71:p2,mixed_statement,1,0.0,100,
rome,rome:60:137-0-s71:p2,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:140-0-s121:p0,zone_priced_statement,4,2.0,100,27631
rome,rome:60:140-0-s121:p0,mixed_statement,4,2.0,100,
rome,rome:60:140-0-s121:p0,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:140-0-s121:p1,zone_priced_statement,6,2.584962500721156,100,24383
rome,rome:60:140-0-s121:p1,mixed_statement,7,2.807354922057604,100,
rome,rome:60:140-0-s121:p1,odometer_only_statement,37,5.20945336562895,100,
rome,rome:60:149-0-s182:p0,zone_priced_statement,1,0.0,100,15986
rome,rome:60:149-0-s182:p0,mixed_statement,1,0.0,100,
rome,rome:60:149-0-s182:p0,odometer_only_statement,13,3.700439718141092,100,
rome,rome:60:149-0-s21:p0,zone_priced_statement,5,2.321928094887362,100,22425
rome,rome:60:149-0-s21:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:149-0-s21:p0,odometer_only_statement,44,5.459431618637297,100,
rome,rome:60:149-0-s21:p1,zone_priced_statement,3,1.584962500721156,100,24642
rome,rome:60:149-0-s21:p1,mixed_statement,3,1.584962500721156,100,
rome,rome:60:149-0-s21:p1,odometer_only_statement,21,4.392317422778761,100,
rome,rome:60:149-0-s21:p2,zone_priced_statement,4,2.0,100,19697
rome,rome:60:149-0-s21:p2,mixed_statement,4,2.0,100,
rome,rome:60:149-0-s21:p2,odometer_only_statement,21,4.392317422778761,100,
rome,rome:60:149-0-s21:p3,zone_priced_statement,5,2.321928094887362,100,22182
rome,rome:60:149-0-s21:p3,mixed_statement,5,2.321928094887362,100,
rome,rome:60:149-0-s21:p3,odometer_only_statement,39,5.285402218862249,100,
rome,rome:60:150-0-s108:p0,zone_priced_statement,5,2.321928094887362,100,22469
rome,rome:60:150-0-s108:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:150-0-s108:p0,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:153-0-s12:p0,zone_priced_statement,6,2.584962500721156,100,12161
rome,rome:60:153-0-s12:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:153-0-s12:p0,odometer_only_statement,39,5.285402218862249,100,
rome,rome:60:153-0-s12:p1,zone_priced_statement,4,2.0,100,17069
rome,rome:60:153-0-s12:p1,mixed_statement,4,2.0,100,
rome,rome:60:153-0-s12:p1,odometer_only_statement,44,5.459431618637297,100,
rome,rome:60:153-0-s15:p0,zone_priced_statement,6,2.584962500721156,100,12371
rome,rome:60:153-0-s15:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:153-0-s15:p0,odometer_only_statement,43,5.426264754702098,100,
rome,rome:60:153-0-s15:p1,zone_priced_statement,3,1.584962500721156,100,21983
rome,rome:60:153-0-s15:p1,mixed_statement,3,1.584962500721156,100,
rome,rome:60:153-0-s15:p1,odometer_only_statement,36,5.169925001442312,100,
rome,rome:60:153-0-s15:p2,zone_priced_statement,2,1.0,100,22194
rome,rome:60:153-0-s15:p2,mixed_statement,3,1.584962500721156,100,
rome,rome:60:153-0-s15:p2,odometer_only_statement,17,4.087462841250339,100,
rome,rome:60:153-0-s214:p0,zone_priced_statement,2,1.0,100,7970
rome,rome:60:153-0-s214:p0,mixed_statement,2,1.0,100,
rome,rome:60:153-0-s214:p0,odometer_only_statement,17,4.087462841250339,100,
rome,rome:60:155-0-s239:p0,zone_priced_statement,5,2.321928094887362,100,22272
rome,rome:60:155-0-s239:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:155-0-s239:p0,odometer_only_statement,45,5.491853096329675,100,
rome,rome:60:155-0-s253:p0,zone_priced_statement,2,1.0,100,20225
rome,rome:60:155-0-s253:p0,mixed_statement,2,1.0,100,
rome,rome:60:155-0-s253:p0,odometer_only_statement,23,4.523561956057013,100,
rome,rome:60:155-0-s266:p0,zone_priced_statement,3,1.584962500721156,100,25535
rome,rome:60:155-0-s266:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:155-0-s266:p0,odometer_only_statement,18,4.169925001442312,100,
rome,rome:60:156-0-s76:p0,zone_priced_statement,1,0.0,158,16386
rome,rome:60:156-0-s76:p0,mixed_statement,1,0.0,158,
rome,rome:60:156-0-s76:p0,odometer_only_statement,5,2.321928094887362,158,
rome,rome:60:157-0-s98:p0,zone_priced_statement,3,1.584962500721156,100,27791
rome,rome:60:157-0-s98:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:157-0-s98:p0,odometer_only_statement,49,5.614709844115208,100,
rome,rome:60:162-0-s40:p0,zone_priced_statement,3,1.584962500721156,126,11028
rome,rome:60:162-0-s40:p0,mixed_statement,3,1.584962500721156,126,
rome,rome:60:162-0-s40:p0,odometer_only_statement,9,3.169925001442312,126,
rome,rome:60:162-0-s40:p1,zone_priced_statement,6,2.584962500721156,100,18628
rome,rome:60:162-0-s40:p1,mixed_statement,6,2.584962500721156,100,
rome,rome:60:162-0-s40:p1,odometer_only_statement,40,5.321928094887363,100,
rome,rome:60:163-0-s105:p0,zone_priced_statement,1,0.0,100,10759
rome,rome:60:163-0-s105:p0,mixed_statement,1,0.0,100,
rome,rome:60:163-0-s105:p0,odometer_only_statement,14,3.807354922057604,100,
rome,rome:60:167-0-s26:p0,zone_priced_statement,4,2.0,100,15156
rome,rome:60:167-0-s26:p0,mixed_statement,4,2.0,100,
rome,rome:60:167-0-s26:p0,odometer_only_statement,16,4.0,100,
rome,rome:60:167-0-s73:p0,zone_priced_statement,2,1.0,100,14905
rome,rome:60:167-0-s73:p0,mixed_statement,2,1.0,100,
rome,rome:60:167-0-s73:p0,odometer_only_statement,32,5.0,100,
rome,rome:60:172-0-s6:p0,zone_priced_statement,2,1.0,100,15583
rome,rome:60:172-0-s6:p0,mixed_statement,2,1.0,100,
rome,rome:60:172-0-s6:p0,odometer_only_statement,22,4.459431618637297,100,
rome,rome:60:178-0-s37:p0,zone_priced_statement,3,1.584962500721156,100,14808
rome,rome:60:178-0-s37:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:178-0-s37:p0,odometer_only_statement,37,5.20945336562895,100,
rome,rome:60:178-1-s43:p0,zone_priced_statement,2,1.0,121,13389
rome,rome:60:178-1-s43:p0,mixed_statement,2,1.0,121,
rome,rome:60:178-1-s43:p0,odometer_only_statement,8,3.0,121,
rome,rome:60:185-0-s124:p0,zone_priced_statement,1,0.0,100,5189
rome,rome:60:185-0-s124:p0,mixed_statement,1,0.0,100,
rome,rome:60:185-0-s124:p0,odometer_only_statement,40,5.321928094887363,100,
rome,rome:60:185-0-s150:p0,zone_priced_statement,3,1.584962500721156,116,11197
rome,rome:60:185-0-s150:p0,mixed_statement,3,1.584962500721156,116,
rome,rome:60:185-0-s150:p0,odometer_only_statement,7,2.807354922057604,116,
rome,rome:60:193-0-s204:p0,zone_priced_statement,3,1.584962500721156,100,7255
rome,rome:60:193-0-s204:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:193-0-s204:p0,odometer_only_statement,21,4.392317422778761,100,
rome,rome:60:213-0-s41:p0,zone_priced_statement,5,2.321928094887362,100,17346
rome,rome:60:213-0-s41:p0,mixed_statement,6,2.584962500721156,100,
rome,rome:60:213-0-s41:p0,odometer_only_statement,33,5.044394119358453,100,
rome,rome:60:213-0-s41:p1,zone_priced_statement,9,3.169925001442312,100,14718
rome,rome:60:213-0-s41:p1,mixed_statement,9,3.169925001442312,100,
rome,rome:60:213-0-s41:p1,odometer_only_statement,47,5.554588851677638,100,
rome,rome:60:213-0-s66:p0,zone_priced_statement,3,1.584962500721156,100,13320
rome,rome:60:213-0-s66:p0,mixed_statement,3,1.584962500721156,100,
rome,rome:60:213-0-s66:p0,odometer_only_statement,15,3.9068905956085187,100,
rome,rome:60:214-0-s203:p0,zone_priced_statement,4,2.0,100,13942
rome,rome:60:214-0-s203:p0,mixed_statement,4,2.0,100,
rome,rome:60:214-0-s203:p0,odometer_only_statement,17,4.087462841250339,100,
rome,rome:60:214-0-s203:p1,zone_priced_statement,2,1.0,100,20194
rome,rome:60:214-0-s203:p1,mixed_statement,2,1.0,100,
rome,rome:60:214-0-s203:p1,odometer_only_statement,14,3.807354922057604,100,
rome,rome:60:214-0-s220:p0,zone_priced_statement,1,0.0,100,5878
rome,rome:60:214-0-s220:p0,mixed_statement,1,0.0,100,
rome,rome:60:214-0-s220:p0,odometer_only_statement,16,4.0,100,
rome,rome:60:229-0-s172:p0,zone_priced_statement,1,0.0,100,26670
rome,rome:60:229-0-s172:p0,mixed_statement,1,0.0,100,
rome,rome:60:229-0-s172:p0,odometer_only_statement,16,4.0,100,
rome,rome:60:234-0-s260:p0,zone_priced_statement,2,1.0,100,17805
rome,rome:60:234-0-s260:p0,mixed_statement,2,1.0,100,
rome,rome:60:234-0-s260:p0,odometer_only_statement,14,3.807354922057604,100,
rome,rome:60:24-0-s158:p0,zone_priced_statement,4,2.0,100,24605
rome,rome:60:24-0-s158:p0,mixed_statement,7,2.807354922057604,100,
rome,rome:60:24-0-s158:p0,odometer_only_statement,49,5.614709844115208,100,
rome,rome:60:24-0-s158:p1,zone_priced_statement,2,1.0,100,27605
rome,rome:60:24-0-s158:p1,mixed_statement,4,2.0,100,
rome,rome:60:24-0-s158:p1,odometer_only_statement,39,5.285402218862249,100,
rome,rome:60:24-0-s158:p2,zone_priced_statement,5,2.321928094887362,100,27292
rome,rome:60:24-0-s158:p2,mixed_statement,8,3.0,100,
rome,rome:60:24-0-s158:p2,odometer_only_statement,43,5.426264754702098,100,
rome,rome:60:24-0-s158:p3,zone_priced_statement,5,2.321928094887362,100,17419
rome,rome:60:24-0-s158:p3,mixed_statement,6,2.584962500721156,100,
rome,rome:60:24-0-s158:p3,odometer_only_statement,36,5.169925001442312,100,
rome,rome:60:24-0-s50:p0,zone_priced_statement,1,0.0,100,29911
rome,rome:60:24-0-s50:p0,mixed_statement,1,0.0,100,
rome,rome:60:24-0-s50:p0,odometer_only_statement,16,4.0,100,
rome,rome:60:24-0-s50:p1,zone_priced_statement,1,0.0,100,30708
rome,rome:60:24-0-s50:p1,mixed_statement,1,0.0,100,
rome,rome:60:24-0-s50:p1,odometer_only_statement,41,5.357552004618084,100,
rome,rome:60:24-0-s50:p2,zone_priced_statement,1,0.0,100,31774
rome,rome:60:24-0-s50:p2,mixed_statement,1,0.0,100,
rome,rome:60:24-0-s50:p2,odometer_only_statement,39,5.285402218862249,100,
rome,rome:60:24-0-s50:p3,zone_priced_statement,4,2.0,100,22840
rome,rome:60:24-0-s50:p3,mixed_statement,5,2.321928094887362,100,
