dataset,placement,omit_policy,omit_fraction,cameras,empirical_p_detect,trials,tsip_p_detect_proof_violating,tsip_cameras
rome,uniform_random,rational_topfee,0.2,175,0.903902,12300,1.0,0
rome,uniform_random,random,0.1,175,0.894878,12300,1.0,0
rome,uniform_random,random,0.2,175,0.899837,12300,1.0,0
rome,uniform_random,rational_topfee,0.1,196,1.0,12300,1.0,0
rome,uniform_random,rational_topfee,0.2,196,1.0,12300,1.0,0
rome,uniform_random,random,0.1,196,1.0,12300,1.0,0
rome,uniform_random,random,0.2,196,1.0,12300,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,1,0.121951,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,1,0.121951,123,1.0,0
rome,traffic_weighted_generous,random,0.1,1,0.130081,123,1.0,0
rome,traffic_weighted_generous,random,0.2,1,0.154472,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,2,0.219512,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,2,0.219512,123,1.0,0
rome,traffic_weighted_generous,random,0.1,2,0.268293,123,1.0,0
rome,traffic_weighted_generous,random,0.2,2,0.260163,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,5,0.292683,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,5,0.292683,123,1.0,0
rome,traffic_weighted_generous,random,0.1,5,0.292683,123,1.0,0
rome,traffic_weighted_generous,random,0.2,5,0.300813,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,10,0.447154,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,10,0.447154,123,1.0,0
rome,traffic_weighted_generous,random,0.1,10,0.471545,123,1.0,0
rome,traffic_weighted_generous,random,0.2,10,0.471545,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,20,0.577236,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,20,0.585366,123,1.0,0
rome,traffic_weighted_generous,random,0.1,20,0.577236,123,1.0,0
rome,traffic_weighted_generous,random,0.2,20,0.601626,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,50,0.707317,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,50,0.715447,123,1.0,0
rome,traffic_weighted_generous,random,0.1,50,0.715447,123,1.0,0
rome,traffic_weighted_generous,random,0.2,50,0.715447,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,75,0.747967,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,75,0.764228,123,1.0,0
rome,traffic_weighted_generous,random,0.1,75,0.739837,123,1.0,0
rome,traffic_weighted_generous,random,0.2,75,0.804878,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,100,0.796748,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,100,0.813008,123,1.0,0
rome,traffic_weighted_generous,random,0.1,100,0.780488,123,1.0,0
rome,traffic_weighted_generous,random,0.2,100,0.853659,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,125,0.894309,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,125,0.894309,123,1.0,0
rome,traffic_weighted_generous,random,0.1,125,0.821138,123,1.0,0
rome,traffic_weighted_generous,random,0.2,125,0.886179,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,150,0.902439,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,150,0.910569,123,1.0,0
rome,traffic_weighted_generous,random,0.1,150,0.894309,123,1.0,0
rome,traffic_weighted_generous,random,0.2,150,0.926829,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,175,0.934959,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,175,0.934959,123,1.0,0
rome,traffic_weighted_generous,random,0.1,175,0.95935,123,1.0,0
rome,traffic_weighted_generous,random,0.2,175,0.943089,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.1,196,1.0,123,1.0,0
rome,traffic_weighted_generous,rational_topfee,0.2,196,1.0,123,1.0,0
rome,traffic_weighted_generous,random,0.1,196,1.0,123,1.0,0
rome,traffic_weighted_generous,random,0.2,196,1.0,123,1.0,0
tdrive,uniform_random,rational_topfee,0.1,1,1.0,100,1.0,0
tdrive,uniform_random,rational_topfee,0.2,1,1.0,100,1.0,0
tdrive,uniform_random,random,0.1,1,1.0,100,1.0,0
tdrive,uniform_random,random,0.2,1,1.0,100,1.0,0
tdrive,traffic_weighted_generous,rational_topfee,0.1,1,1.0,1,1.0,0
tdrive,traffic_weighted_generous,rational_topfee,0.2,1,1.0,1,1.0,0
tdrive,traffic_weighted_generous,random,0.1,1,1.0,1,1.0,0
tdrive,traffic_weighted_generous,random,0.2,1,1.0,1,1.0,0
